

Dish names

ALMOND COOKIES
BANANA CAKE
BROOKIE TIN
BROWNIE EGGLESS CAKE
BUN MASKA
CHOCO CHIPS COOKIES
CLASSIC BUTTTER COOKIES
COCONUT BUN
COCONUT COOKIES
COOKIES VARIETYS (PCS)
CREAM BUN
FRUIT CAKE
GHEE CAKE BOX
HONEY COOKIES
JAM BUN
JUICEBERRY COOKIES
KAI SUTHU MURUKKU (1 PCS)
KARA COOKIES (1 PCS)
KOREAN CHEESE BUN
MACROON
MILK BREAD
MILK CAKE BOX
MIXED CUP CAKE
MUSHROOM PUFFS
OSMANIA COOKIES (1 PCS)
PANEER PUFFS
PEANUT BUTTER COOKIES
PINEAPPLE CAKE
PLUM CAKE
PUDDING CAKE
ROSE MILK CAKE
SALT COOKIES (1 PCS)
SPONGE CAKE
STRAWBNERRY CREAM BUN
SWEET BUN
TEA CAKE
VANILLA CREAM BUN
VANILLA CUP CAKE
VEG PUFFS
VEG ROLL
WHEAT BREAD
WHEAT BUN
ABC JUICE
APPLE JUICE
Apple Pure Juice
BUTTER MILK
BUTTER SCOTCH MILK SHAKE
CARROT JUICE
CHOCOLATE MILK SHAKE
COLD COFFEE
CUT FRUITS (BOX)
GANGA JAMUNA JUICE
GRAPE JUICE
LASSI SWEET
LEMON JUICE
LEMON SODA SALT
LEMON SODA SWEET
MANGO MILK SHAKE
MUSKEMLON (KIRNI) PURE JUICE
MUSKMELON JUICE
NANARI SHARBATH
ORANGE JUICE
ORANGE PURE JUICE
PINEAPPLE JUICE
POMOGRANITE JUICE
POMOGRANITE PURE JUICE
SLASH JUICE
STRAWBERRY MILK SHAKE
SWEETLIME JUICE (Mosambi)
SWEETLIME PURE JUICE
TRIVENI JUICE
VANILLA MILK SHALE
WATERMELON JUICE
WATERMELON PURE JUICE
CHAPPATHI [SET)
CHILLY PANEER
GOBI MANCHURIAN
IDIYAPPAM [3 pcs ] with kadalai kari
IDIYAPPAM [3 pcs ] with sodhi
IDLY (2 Pcs)
MINI SAMBAR IDLY [12 pcs]
MIXED VEG CURRY
MUSHROOM KOTHU PAROTTA
MUSHROOM MANCHURIAN
PAAL KOZHUKATTAI
PANEER 65
PANEER BUTTER MASALA
PANEER FRIED RICE
PANEER KOTHU PAROTTA
PANEER MANCHURIAN
PANEER MASALA DOSA
PANEER NOODLES
PAROTTA [SET)
RICE KANJI
SPL DINNER COMBO 
STEAMED GHEE PODI IDLY [12 pcs]
UPPUMA VARIETIES
UTTAPPAM
VEG KOTHU PAROTTA
VEG NOODLES
Wheat parotta (set)
BADAM MILK
BLACK COFFEE
BLACK TEA
BOOST
COFFEE
GINGER TEA
GREEN TEA
HORLICKS
HOT CHOCOLATE 
LEMON TEA 
MASALA TEA
MILK
NAATU SAKKARAI COFFEE
NAATU SAKKARAI TEA
Naatusakkarai Ginger Tea
NAVAPAZHAM TEA
PANANKARKANDU MILK
PARCEL BLACK TEA 
PARCEL COFFEE
PARCEL GINGER TEA
Parcel Naatusakkarai Ginger Tea
PARCEL TEA
PARECEL BLACK COFFEE
SANGU POO TEA
SEMBARUTHI KOYYA TEA
SUKU MALI (Black)
SUKU MALI WITH MILK
TEA 
ADHIRASAM 
ANDRA MURUKKU
BEETROOT CHIPS
BEETROOT MIXTURE
BITTER GUARD CHIPS
BNITTER GUARD CHIPS
BUTTER MURUKKU
CARROT CHIPS
ELLU MURUKKU
ELLU URUNDAI
KAPPA KILANGU CHIPS
KARASEV
KARUNAI KILANGU CHIPS
KOVAKKAI CHIPS
LADIES FINGER CHIPS
MAGILAMBOO MURUKKU
MIXTURE
MURUKKU BIG
NEI VILANGA
NENDHIRAM CHIPS
OMAPODI
ONION  UDHIRI PAKODA
PEPPER SEV
POTATO CHIPS
POTATO FINGER CHIPS
RAVA LADDU
SEEVAL
SPL MIXTURE
SWEET MIXTURE
SWEET SEV
ANY ONE VARTIY RICE
CURD RICE
DINDUGAL BRIYANI
KEERAI SADAM
MINI MEALS
RASAM SADAM
SAMBAR SADAM
SET MEALS
VEG BIRYANI
ALOO GOBI MASALA
BOILED BROWN CHENNAI
BOILED GREEN MOONG DAL
BOILED KAPPA KIZHANGU
BOILED KARAMANI
BOILED RAW PEUNUT
BOILED SWEET CORN
BOILED WHITE CHENNA
BUTTER PHULKA
CHILLI GOBI
CHILLY MUSHROOM
CHILLY PAROTTA
CHOLA BATURA (chenna masala slice onion)
GOBI 65
MUSHROOM 65
MUSHROOM FRIED RICE
MUSHROOM NOODLES
PANAI OLAI KOZHUKATTAI (2 PCS)
PHULKA
POOM PARUPPU BENGAL GRAM DAL
Todays spl Pongal
VEG. FRIED RICE
Assorted Normal Sweets
BADUSHA
BOMBAY HALWA
CARROT HALWA
COLD MILO
ELANEER PAYAYSM
ELANNER HALWA
Ellu mittai 1kg
Ellu mittai 1pcs
KASI HALWA
KAVUNI ARISI HALWA
LADDU
MILK HALWA
MILK HALWA (100GRM)
MINI JANGIRI
MYSOREPAK
Nei kutchi mittai 1kg
Nei kutchi mittai 1pcs
NELLAI HALWA
ROSE MILK TT
GULAB JAMUN
KAJU KATLI
RASMALAI
Parcel Charges
MUMBAI SANDWICH
VEG CHEESE SANDWICH
VEG SANDWICH
ALOO BONDA
AMNI KOZHUKATTAI
APPAM  [kadalai kari]
BAJJI CHILLI BAJJI
BANANA BAJJI
BOLI
BREAD BAJJI
CORN VADA
CURD VADA
CUTLET
KAMBU DOSAI
KARA VADA
KEERAI VADA
KUZHI PANIYARAM INIPPU
KUZHI PANIYARAM KARAM
MASALA VADA
MEDHU VADA
MUNDHIRIKOTHU
MUTTAIKOSE
ONION BONDA
ONION SAMOSA
PAAL BUN
PAZHAMPURI
PIDI KOZHUKATTAI
POTATO BAJJI
RAGI DOSAI
RAGI KALI (KARAM)
RAGI VADA
RASA VADA
SAMBAR VADA
SAMOSA
SUSIYAM
ULUNTHAN KALI
VAZHAIPOO VADA
Vegetable Vada
VENTHAYA KALI
HOT AND SOUR SOUP
SWEET CORN VEG SOUP
TOMATO SOUP
VAZHAI THANDU SOUP
APPLE KESARI
BROKEN WHEAT UPUMA
DATES KESARI
FRUIT KESARI
GARLIC DOSA
GHEE MASALA DOSA
GHEE PODI IDLY
GHEE PODI THATTU IDLY [1pcs]
GHEE PONGAL
GHEE ROAST
GULKAND KESARI
MASALA DOSA
MUSHROOM MASALA DOSA
MYSORE MASALA DOSA
NATTU SAKKARAI KESARI
ONION DOSA
ONION RAVA DOSA
ONION UTTAPPAM
PINAPPLE KESASRI
